

*******************************************************************************
Ephemeris / WWW_USER Sat Nov 22 14:10:22 2025 Pasadena, USA      / Horizons
*******************************************************************************
Target body name: 153814 (2001 WN5)               {source: JPL#194}
Center body name: Sun (10)                        {source: DE441}
Center-site name: BODY CENTER
*******************************************************************************
Start time      : A.D. 2028-Jan-01 00:00:00.0000 TDB
Stop  time      : A.D. 2028-Dec-30 00:00:00.0000 TDB
Step-size       : 60 minutes
*******************************************************************************
Center geodetic : 0.0, 0.0, 0.0                   {E-lon(deg),Lat(deg),Alt(km)}
Center cylindric: 0.0, 0.0, 0.0                   {E-lon(deg),Dxy(km),Dz(km)}
Center radii    : 695700.0, 695700.0, 695700.0 km {Equator_a, b, pole_c}
Small perturbers: Yes                             {source: SB441-N16}
Output units    : KM-S
Calendar mode   : Gregorian
Output type     : GEOMETRIC cartesian states
Output format   : 2 (position and velocity)
Reference frame : ICRF
*******************************************************************************
Initial IAU76/J2000 heliocentric ecliptic osculating elements (au, days, deg.):
  EPOCH=  2458083.5 ! 2017-Nov-26.00 (TDB)         Residual RMS= .21941        
   EC= .4669729312323679   QR= .9124751621924232   TP= 2457895.4428082719      
   OM= 277.5057205071764   W=  44.56461706945646   IN= 1.919764913833357       
  Equivalent ICRF heliocentric cartesian coordinates (au, au/d):
   X=-1.676694576041798E-01  Y= 1.791601297305704E+00  Z= 7.800061671072777E-01
  VX=-1.054047314943854E-02 VY= 3.991332353811014E-03 VZ= 1.368748066788809E-03
Asteroid physical parameters (km, seconds, rotational period in hours):        
   GM= n.a.                RAD= .466               ROTPER= 4.253               
   H= 18.28                G= .150                 B-V= n.a.                   
                           ALBEDO= .097            STYP= n.a.                  
*******************************************************************************
            JDTDB,            Calendar Date (TDB),                      X,                      Y,                      Z,                     VX,                     VY,                     VZ,
**************************************************************************************************************************************************************************************************
$$SOE
2461771.500000000, A.D. 2028-Jan-01 00:00:00.0000, -3.118803929392264E+08, -5.531011967713474E+06, -1.373430780661461E+07,  8.252178380130482E+00, -1.498457278787688E+01, -6.272511151964706E+00,
2461771.541666667, A.D. 2028-Jan-01 01:00:00.0000, -3.118506762869822E+08, -5.584956272326225E+06, -1.375688845804211E+07,  8.257073006402182E+00, -1.498448518544704E+01, -6.272295128053373E+00,
2461771.583333333, A.D. 2028-Jan-01 02:00:00.0000, -3.118209420125746E+08, -5.638900260004164E+06, -1.377946833104207E+07,  8.261968470956882E+00, -1.498439671290337E+01, -6.272078692178475E+00,
2461771.625000000, A.D. 2028-Jan-01 03:00:00.0000, -3.117911901129850E+08, -5.692843927614638E+06, -1.380204742413127E+07,  8.266864774030331E+00, -1.498430736978581E+01, -6.271861844129723E+00,
2461771.666666667, A.D. 2028-Jan-01 04:00:00.0000, -3.117614205851949E+08, -5.746787272021576E+06, -1.382462573582502E+07,  8.271761915858139E+00, -1.498421715563394E+01, -6.271644583696680E+00,
2461771.708333333, A.D. 2028-Jan-01 05:00:00.0000, -3.117316334261842E+08, -5.800730290089016E+06, -1.384720326463861E+07,  8.276659896676126E+00, -1.498412606998698E+01, -6.271426910668744E+00,
2461771.750000000, A.D. 2028-Jan-01 06:00:00.0000, -3.117018286329316E+08, -5.854672978679331E+06, -1.386978000908656E+07,  8.281558716720154E+00, -1.498403411238382E+01, -6.271208824835163E+00,
2461771.791666667, A.D. 2028-Jan-01 07:00:00.0000, -3.116720062024164E+08, -5.908615334651474E+06, -1.389235596768189E+07,  8.286458376225964E+00, -1.498394128236298E+01, -6.270990325985030E+00,
