

*******************************************************************************
Ephemeris / WWW_USER Tue Nov 18 10:42:00 2025 Pasadena, USA      / Horizons
*******************************************************************************
Target body name: Earth (399)                     {source: DE441}
Center body name: Sun (10)                        {source: DE441}
Center-site name: BODY CENTER
*******************************************************************************
Start time      : A.D. 2031-Jan-01 00:00:00.0000 TDB
Stop  time      : A.D. 2031-Dec-30 00:00:00.0000 TDB
Step-size       : 60 minutes
*******************************************************************************
Center geodetic : 0.0, 0.0, 0.0                   {E-lon(deg),Lat(deg),Alt(km)}
Center cylindric: 0.0, 0.0, 0.0                   {E-lon(deg),Dxy(km),Dz(km)}
Center radii    : 695700.0, 695700.0, 695700.0 km {Equator_a, b, pole_c}
Output units    : KM-S
Calendar mode   : Gregorian
Output type     : GEOMETRIC cartesian states
Output format   : 2 (position and velocity)
Reference frame : ICRF
*******************************************************************************
            JDTDB,            Calendar Date (TDB),                      X,                      Y,                      Z,                     VX,                     VY,                     VZ,
**************************************************************************************************************************************************************************************************
$$SOE
2462867.500000000, A.D. 2031-Jan-01 00:00:00.0000, -2.534790938888327E+07,  1.329478874809088E+08,  5.762868458789130E+07, -2.982609042731347E+01, -4.822900131669706E+00, -2.089709687351482E+00,
2462867.541666667, A.D. 2031-Jan-01 01:00:00.0000, -2.545527625776298E+07,  1.329304891668750E+08,  5.762114609897125E+07, -2.982216743875409E+01, -4.842829307456518E+00, -2.098339473927809E+00,
2462867.583333333, A.D. 2031-Jan-01 02:00:00.0000, -2.556262897556478E+07,  1.329130191140723E+08,  5.761357654539945E+07, -2.981822871893033E+01, -4.862755002245835E+00, -2.106967826817462E+00,
2462867.625000000, A.D. 2031-Jan-01 03:00:00.0000, -2.566996748567298E+07,  1.328954773350437E+08,  5.760597593234140E+07, -2.981427427718934E+01, -4.882677209611763E+00, -2.115594743676353E+00,
2462867.666666667, A.D. 2031-Jan-01 04:00:00.0000, -2.577729173150539E+07,  1.328778638423556E+08,  5.759834426497103E+07, -2.981030412281507E+01, -4.902595923153235E+00, -2.124220222163416E+00,
2462867.708333333, A.D. 2031-Jan-01 05:00:00.0000, -2.588460165651315E+07,  1.328601786485973E+08,  5.759068154847068E+07, -2.980631826502904E+01, -4.922511136493279E+00, -2.132844259940389E+00,
2462867.750000000, A.D. 2031-Jan-01 06:00:00.0000, -2.599189720418050E+07,  1.328424217663808E+08,  5.758298778803111E+07, -2.980231671299103E+01, -4.942422843278317E+00, -2.141466854671608E+00,
2462867.791666667, A.D. 2031-Jan-01 07:00:00.0000, -2.609917831802451E+07,  1.328245932083411E+08,  5.757526298885150E+07, -2.979829947579991E+01, -4.962331037177477E+00, -2.150088004023812E+00,
2462867.833333333, A.D. 2031-Jan-01 08:00:00.0000, -2.620644494159492E+07,  1.328066929871361E+08,  5.756750715613939E+07, -2.979426656249436E+01, -4.982235711881928E+00, -2.158707705665947E+00,
2462867.875000000, A.D. 2031-Jan-01 09:00:00.0000, -2.631369701847391E+07,  1.327887211154462E+08,  5.755972029511075E+07, -2.979021798205362E+01, -5.002136861104263E+00, -2.167325957268995E+00,
